0.006638059589844435+0.*I	0.326
0.006770820781641324+0.*I	0.31
0.006906237197274151+0.*I	0.298
0.007044361941219634+0.*I	0.298
0.007185249180044027+0.*I	0.28
0.007328954163644908+0.*I	0.288
0.007475533246917807+0.*I	0.27
0.007625043911856162+0.*I	0.284
0.007777544790093287+0.*I	0.236
0.007933095685895153+0.*I	0.274
0.008091757599613057+0.*I	0.266
0.008253592751605318+0.*I	0.234
0.008418664606637425+0.*I	0.218
0.008587037898770172+0.*I	0.274
0.008758778656745576+0.*I	0.22
0.008933954229880487+0.*I	0.202
0.009112633314478098+0.*I	0.22
0.009294885980767659+0.*I	0.212
0.009480783700383013+0.*I	0.244
0.009670399374390673+0.*I	0.17
0.009863807361878486+0.*I	0.186
0.010061083509116055+0.*I	0.186
0.010262305179298378+0.*I	0.174
0.010467551282884345+0.*I	0.174
0.01067690230854203+0.*I	0.152
0.010890440354712871+0.*I	0.186
0.011108249161807129+0.*I	0.158
0.011330414145043271+0.*I	0.158
0.011557022427944137+0.*I	0.146
0.011788162876503019+0.*I	0.166
0.012023926134033079+0.*I	0.164
0.012264404656713742+0.*I	0.108
0.012509692749848018+0.*I	0.14
0.012759886604844978+0.*I	0.108
0.013015084336941877+0.*I	0.126
0.013275386023680716+0.*I	0.096
0.01354089374415433+0.*I	0.098
0.013811711619037418+0.*I	0.106
0.014087945851418164+0.*I	0.088
0.01436970476844653+0.*I	0.114
0.01465709886381546+0.*I	0.094
0.014950240841091771+0.*I	0.088
0.015249245657913605+0.*I	0.104
0.015554230571071876+0.*I	0.092
0.015865315182493313+0.*I	0.108
0.01618262148614318+0.*I	0.112
0.016506273915866045+0.*I	0.094
0.016836399394183365+0.*I	0.068
0.017173127382067034+0.*I	0.08
0.017516589929708375+0.*I	0.082
0.017866921728302544+0.*I	0.058
0.018224260162868596+0.*I	0.096
0.01858874536612597+0.*I	0.094
0.01896052027344849+0.*I	0.078
0.01933973067891746+0.*I	0.06
0.019726525292495807+0.*I	0.062
0.02012105579834572+0.*I	0.046
0.02052347691431264+0.*I	0.07
0.02093394645259889+0.*I	0.066
0.021352625381650867+0.*I	0.05
0.021779677889283883+0.*I	0.076
0.02221527144706956+0.*I	0.05
0.022659576876010952+0.*I	0.054
0.023112768413531173+0.*I	0.054
0.023575023781801797+0.*I	0.04
0.024046524257437835+0.*I	0.052
0.02452745474258659+0.*I	0.05
0.025018003837438324+0.*I	0.04
0.02551836391418709+0.*I	0.028
0.02602873119247083+0.*I	0.04
0.026549305816320246+0.*I	0.028
0.02708029193264665+0.*I	0.024
0.027621897771299583+0.*I	0.04
0.028174335726725574+0.*I	0.036
0.028737822441260087+0.*I	0.02
0.02931257889008529+0.*I	0.022
0.029898830467886994+0.*I	0.018
0.030496807077244732+0.*I	0.022
0.03110674321878963+0.*I	0.016
0.03172887808316543+0.*I	0.006
0.03236345564482874+0.*I	0.016
0.03301072475772531+0.*I	0.008
0.03367093925287982+0.*I	0.006
0.034344358037937416+0.*I	0.002
0.035031245198696166+0.*I	0.
0.035731870102670094+0.*I	0.002
0.036446507504723495+0.*I	0.
0.03717543765481796+0.*I	0.
0.03791894640791432+0.*I	0.
0.038677325336072606+0.*I	0.002
0.03945087184279406+0.*I	0.
0.04023988927964994+0.*I	0.
0.041044687065242946+0.*I	0.
0.04186558080654781+0.*I	0.
0.04270289242267876+0.*I	0.
0.043556950271132336+0.*I	0.
0.044428089276554984+0.*I	0.002
0.045316651062086086+0.*I	0.002
0.046222984083327805+0.*I	0.
0.047147443764994364+0.*I	0.
0.04809039264029425+0.*I	0.
0.04905220049310014+0.*I	0.
0.05003324450296214+0.*I	0.
0.05103390939302139+0.*I	0.002
0.05205458758088182+0.*I	0.
0.05309567933249946+0.*I	0.
0.05415759291914945+0.*I	0.
0.05524074477753244+0.*I	0.
0.056345559673083086+0.*I	0.002
0.05747247086654476+0.*I	0.
0.058621920283875646+0.*I	0.
0.059794358689553156+0.*I	0.
0.06099024586334422+0.*I	0.
0.062210050780611106+0.*I	0.
0.06345425179622333+0.*I	0.002
0.06472333683214779+0.*I	0.
0.06601780356879075+0.*I	0.002
0.06733815964016655+0.*I	0.002
0.0686849228329699+0.*I	0.
0.0700586212896293+0.*I	0.
0.07145979371542187+0.*I	0.
0.07288898958973032+0.*I	0.002
0.07434676938152493+0.*I	0.
0.07583370476915542+0.*I	0.
0.07735037886453854+0.*I	0.
0.07889738644182931+0.*I	0.002
0.0804753341706659+0.*I	0.
0.0820848408540792+0.*I	0.
0.08372653767116078+0.*I	0.
0.085401068424584+0.*I	0.
0.08710908979307568+0.*I	0.
0.0888512715889372+0.*I	0.
0.09062829702071594+0.*I	0.
0.09244086296113026+0.*I	0.
0.09428968022035288+0.*I	0.
0.09617547382475992+0.*I	0.
0.09809898330125513+0.*I	0.
0.10006096296728025+0.*I	0.002
0.10206218222662584+0.*I	0.
0.10410342587115837+0.*I	0.
0.10618549438858153+0.*I	0.
0.10830920427635317+0.*I	0.
0.11047538836188024+0.*I	0.002
0.11268489612911785+0.*I	0.
0.1149385940517002+0.*I	0.002
0.11723736593273422+0.*I	0.004
0.1195821132513889+0.*I	0.
0.12197375551641669+0.*I	0.
0.12441323062674502+0.*I	0.
0.12690149523927993+0.*I	0.
0.1294395251440655+0.*I	0.
0.13202831564694684+0.*I	0.002
0.13466888195988577+0.*I	0.002
0.1373622595990835+0.*I	0.002
0.14010950479106518+0.*I	0.002
0.1429116948868865+0.*I	0.
0.14576992878462422+0.*I	0.002
0.14868532736031673+0.*I	0.004
0.15165903390752306+0.*I	0.004
0.15469221458567353+0.*I	0.
0.157786058877387+0.*I	0.002
0.16094178005493473+0.*I	0.006
0.16416061565603343+0.*I	0.
0.16744382796915408+0.*I	0.002
0.1707927045285372+0.*I	0.004
0.17420855861910794+0.*I	0.002
0.1776927297914901+0.*I	0.01
0.1812465843873199+0.*I	0.002
0.1848715160750663+0.*I	0.
0.18856894639656763+0.*I	0.006
0.192340325324499+0.*I	0.
0.19618713183098896+0.*I	0.004
0.20011087446760875+0.*I	0.
0.20411309195696092+0.*I	0.008
0.20819535379610016+0.*I	0.
0.21235926087202214+0.*I	0.
0.21660644608946258+0.*I	0.002
0.22093857501125183+0.*I	0.
0.22535734651147687+0.*I	0.006
0.22986449344170642+0.*I	0.006
0.23446178331054054+0.*I	0.004
0.23915101897675134+0.*I	0.
0.24393403935628638+0.*I	0.002
0.24881272014341213+0.*I	0.004
0.25378897454628035+0.*I	0.006
