0.1,Re[λ]
0.11,Re[λ]
0.12000000000000001,Re[λ]
0.13,Re[λ]
0.14,Re[λ]
0.15000000000000002,Re[λ]
0.16,Re[λ]
0.17,Re[λ]
0.18,Re[λ]
0.19,Re[λ]
0.2,Re[λ]
0.21000000000000002,Re[λ]
0.22,Re[λ]
0.23,Re[λ]
0.24000000000000002,Re[λ]
0.25,Re[λ]
0.26,Re[λ]
0.27,Re[λ]
0.28,Re[λ]
0.29000000000000004,Re[λ]
0.30000000000000004,Re[λ]
0.31,Re[λ]
0.32,Re[λ]
0.33,Re[λ]
0.33999999999999997,Re[λ]
0.35,Re[λ]
0.36,Re[λ]
0.37,Re[λ]
0.38,Re[λ]
0.39,Re[λ]
0.4,Re[λ]
0.41000000000000003,Re[λ]
0.42000000000000004,Re[λ]
0.43000000000000005,Re[λ]
0.44000000000000006,Re[λ]
0.45000000000000007,Re[λ]
0.45999999999999996,Re[λ]
0.47,Re[λ]
0.48,Re[λ]
0.49,Re[λ]
0.5,Re[λ]
0.51,Re[λ]
0.52,Re[λ]
0.53,Re[λ]
0.54,Re[λ]
0.55,Re[λ]
0.56,Re[λ]
0.5700000000000001,Re[λ]
0.58,Re[λ]
0.59,Re[λ]
0.6,Re[λ]
0.61,Re[λ]
0.62,Re[λ]
0.63,Re[λ]
0.64,Re[λ]
0.65,Re[λ]
0.66,Re[λ]
0.67,Re[λ]
0.6799999999999999,Re[λ]
0.69,Re[λ]
0.7,Re[λ]
0.71,Re[λ]
0.72,Re[λ]
0.73,Re[λ]
0.74,Re[λ]
0.75,Re[λ]
0.76,Re[λ]
0.77,Re[λ]
0.78,Re[λ]
0.79,Re[λ]
0.8,Re[λ]
0.8099999999999999,Re[λ]
0.82,Re[λ]
0.83,Re[λ]
0.84,Re[λ]
0.85,Re[λ]
0.86,Re[λ]
0.87,Re[λ]
0.88,Re[λ]
0.89,Re[λ]
0.9,Re[λ]
0.91,Re[λ]
0.92,Re[λ]
0.93,Re[λ]
0.94,Re[λ]
0.95,Re[λ]
0.96,Re[λ]
0.97,Re[λ]
0.98,Re[λ]
0.99,Re[λ]
1.,Re[λ]
